TOT_POP,0-9,0-9_y-o_%_of_total_pop,19-Oct,10-19_y-o_%_of_total_pop,20-29,20-29_y-o_%_of_total_pop,30-39,30-39_y-o_%_of_total_pop,40-49,40-49_y-o_%_of_total_pop,50-59,50-59_y-o_%_of_total_pop,60-69,60-69_y-o_%_of_total_pop,70-79,70-79_y-o_%_of_total_pop,80+,80+_y-o_%_of_total_pop,White-alone_pop,%_White-alone,Black-alone_pop,%_Black-alone,Native_American-American_Indian-alone_pop,%_NA-AI-alone,Asian-alone_pop,%_Asian-alone,Hawaiian-Pacific_Islander-alone_pop,%_Hawaiian-PI-alone,Two_or_more_races_pop,%_Two_or_more_races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,Percent_of_Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
54764,9008,16.44876196,7152,13.05967424,8065,14.72682784,9207,16.81213936,6735,12.29822511,6292,11.48929954,4981,9.095391133,2320,4.236359652,1004,1.83332116,27017,49.33350376,19339,35.31334453,4992,9.115477321,812,1.482725878,225,0.410853846,2379,4.344094661,54764,623,939,16.4,6.4,9.9,1.3,0.2,1.5,4769,9475,13584,6272,9621,18.0,25.6,24.8,47892,19920,18918,1002,47892,88.8,255.0,223.5,86.2,78.1,7.1,6.2,24.87781602,22.37262997,0.590696501,26.66045368,21.22288142,79.00038291,0,52571,7093,13.5,1219,33,37,93,39828,18118,36.6,14577,6.7,2663,7.7,3077,13.0,5197,3.2,1269,3
5230,448,8.565965583,507,9.694072658,611,11.68260038,713,13.63288719,713,13.63288719,695,13.28871893,839,16.04206501,450,8.604206501,254,4.856596558,3538,67.64818356,1515,28.96749522,44,0.841300191,43,0.822179732,1,0.019120459,89,1.701720841,5230,-37,672,6.3,10.7,-4.4,0.4,-3.0,-2.7,709,1602,1182,363,1014,22.2,31.9,30.6,40653,2008,1842,166,40653,75.4,255.0,223.5,86.2,78.1,7.1,6.2,2.375848692,2.136601686,0.056411926,2.546091825,2.026799902,7.544591385,0,5507,1276,23.2,1220,33,37,95,4352,2338,39.2,1706,9.6,416,10.2,444,15.8,687,3.9,170,6
178435,20859,11.68997114,24247,13.58870177,21113,11.83231989,21212,11.88780228,24954,13.98492448,26557,14.88329083,20564,11.52464483,13006,7.288928742,5923,3.319416034,147080,82.42777482,21941,12.29635441,985,0.552021745,4836,2.710230616,108,0.060526242,3485,1.953092162,178435,2807,1236,10.7,9.3,1.4,1.5,13.0,14.5,13015,33120,39423,32473,16746,9.5,13.6,13.0,60044,87984,84841,3143,60044,111.4,255.0,223.5,86.2,78.1,7.1,6.2,81.05823354,72.89570208,1.924638999,86.86651909,69.14952974,257.4032818,36,169798,34692,20.4,1221,33,37,97,137375,62456,34.1,46845,7.2,9901,7.8,10669,11.6,15882,3.0,4090,2
43327,3921,9.049784199,6112,14.10667713,7741,17.86645741,4592,10.59847208,4478,10.33535671,5112,11.79864749,5669,13.08422,3991,9.211346274,1711,3.949038706,36972,85.33247167,1010,2.331109931,3915,9.035936021,453,1.045537425,19,0.043852563,958,2.21109239,43327,135,4014,8.7,8.4,0.3,1.1,1.8,2.9,3141,7205,8407,8226,6570,16.7,21.4,20.4,44502,19484,18682,802,44502,82.5,255.0,223.5,86.2,78.1,7.1,6.2,19.68229375,17.70029469,0.467334513,21.09264255,16.79066145,62.50181854,9,41725,10654,25.5,35,33,37,99,36132,15791,30.4,10984,8.1,2926,8.6,3099,11.5,4157,3.2,1153,5
202675,27071,13.3568521,29312,14.46256322,23368,11.52978907,26438,13.04452942,30377,14.98803503,27766,13.69976563,20940,10.33181201,12293,6.065375601,5110,2.521277908,160301,79.09263599,34026,16.78845442,1891,0.933020846,1832,0.903910201,225,0.111015172,4400,2.170963365,202675,6252,1714,11.8,7.9,3.9,0.9,26.4,27.3,17373,37055,44435,27592,23374,11.7,16.7,15.4,60296,96136,92682,3454,60296,111.8,255.0,223.5,86.2,78.1,7.1,6.2,92.06981525,82.79842194,2.186096949,98.66714354,78.54334038,292.3709482,24,186308,33619,18.0,1222,33,37,101,151021,72604,34.6,52253,7.2,10806,8.2,12334,12.0,18139,3.0,4593,2
9637,939,9.743696171,1037,10.76061015,1028,10.66722009,1048,10.87475355,1055,10.94739027,1478,15.33672305,1576,16.35363702,964,10.003113,512,5.312856698,6401,66.4210854,2901,30.10272907,97,1.006537304,47,0.487703642,4,0.041506693,187,1.940437896,9637,35,91,9.4,11.4,-2.1,0.7,5.1,5.8,1337,2213,2771,950,1542,16.2,28.9,28.8,43302,4379,4195,184,43302,80.3,255.0,223.5,86.2,78.1,7.1,6.2,4.377830564,3.93698479,0.103946793,4.691527136,3.734659781,13.90195548,0,9776,2653,27.1,398,33,37,103,7852,4301,38.8,3047,11.0,864,11.8,925,18.1,1418,4.6,358,4
61452,8019,13.04920914,8173,13.29981123,7750,12.61146911,7481,12.17372909,7677,12.49267721,8321,13.54064961,7219,11.74738007,4366,7.104732149,2446,3.980342381,45898,74.68918831,12348,20.09373169,783,1.274165202,877,1.427130118,103,0.167610493,1443,2.348174185,61452,885,1059,12.7,9.0,3.7,2.1,8.7,10.8,6663,10936,14225,8421,9459,15.7,22.5,22.2,48984,26420,25276,1144,48984,90.8,255.0,223.5,86.2,78.1,7.1,6.2,27.915995,25.10486555,0.662834734,29.91633554,23.81470508,88.6482275,8,59805,12481,20.9,40,33,37,105,46719,22081,36.5,17052,8.4,3937,9.1,4243,13.6,6348,3.6,1662,5
55976,6617,11.82113763,7210,12.88052022,6558,11.71573532,6000,10.71887952,6413,11.45669573,7879,14.07567529,7650,13.66657139,4927,8.801986566,2722,4.862798342,30970,55.32728312,23250,41.53565814,359,0.641346291,450,0.803915964,102,0.182220952,845,1.509575532,55976,-665,1137,10.9,13.8,-2.9,0.6,-9.6,-9.0,7800,12800,13430,5785,12193,22.1,37.7,37.2,40433,27857,26753,1104,40433,75.0,255.0,223.5,86.2,78.1,7.1,6.2,25.42839511,22.86776596,0.603769398,27.2504849,21.69257195,80.74876623,14,57934,14708,25.4,1223,33,37,107,43370,23582,39.9,17305,10.2,4431,10.9,4725,17.3,7506,4.4,1900,5
83770,9048,10.80100275,10316,12.31467112,9195,10.97648323,9255,11.04810791,11934,14.24615017,13159,15.70848753,10996,13.12641757,6961,8.309657395,2906,3.469022323,76613,91.45636863,4792,5.720424973,387,0.461979229,626,0.747284231,44,0.05252477,1308,1.561418169,83770,1405,706,9.6,10.6,-1.0,0.1,17.8,17.9,8357,18013,19152,12375,8555,10.3,14.6,13.5,62963,42654,41200,1454,62963,116.8,255.0,223.5,86.2,78.1,7.1,6.2,38.05446366,34.2223945,0.903561571,40.78128341,32.46367644,120.8432926,10,80504,18644,23.2,138,33,37,109,66121,27755,31.4,20762,8.2,5441,9.1,6046,12.0,7964,3.2,2136,2
45507,4815,10.58078977,5265,11.56964863,5331,11.71468126,4986,10.95655613,5875,12.91010174,6588,14.47689366,6335,13.92093524,4165,9.152438086,2147,4.717955479,42046,92.39457666,1872,4.113652845,379,0.832838904,511,1.122904169,24,0.052739139,675,1.483288285,45507,343,1497,9.7,11.0,-1.2,0.4,8.4,8.8,5283,10909,10901,5498,6802,15.4,21.4,20.1,43972,21145,20433,712,43972,81.5,255.0,223.5,86.2,78.1,7.1,6.2,20.67260926,18.59088584,0.490848471,22.15391983,17.63548435,65.64660041,9,45069,11491,25.5,1224,33,37,111,36343,16929,33.9,12320,9.5,3449,10.5,3815,13.3,4838,3.6,1308,5
